ID,LETO,AVTOR,MESTO,DRŽAVA,TABLATURA,INSTRUMENT,STRUNE,RAZPRAVA
2282,1785,"Porro, Pierre Jean",Paris,France,,guitar,5,NE
2283,,"Saint-Georges, Joseph Bologne",Paris,France,,guitar,5,NE
2284,,various authors,Paris,France,,guitar,"5, 6",NE
2285,1785,,,,,guitar,,NE
2286,,,,,,guitar,,NE
2287,,,,,,drugo,,NE
2288,,,,,,drugo,,NE
2289,1785,"Guglielmi, Pietro Alessandro",,,,guitar,,NE
2290,,"Werner, Gregor Joseph",,,,drugo,,NE
2291,1785,,,,,guitar,,NE
2292,,"Cimarosa, Domenico",,Italy,,guitar,,NE
2293,1786,"Alberti, Francesco",Paris,France,,guitar,5,NE
2294,1786,"Alberti, Francesco",Paris,France,,guitar,5,NE
2295,1786,"Alberti, Francesco",Paris,France,,guitar,5,NE
2296,,"Alberti, Francesco",Paris,France,,guitar,5,NE
2297,1786,,Paris,France,,guitar,5,NE
2298,1786,,Paris,France,,guitar,5,NE
2299,,"Cimarosa, Domenico",Paris,France,,guitar,5,NE
2300,1786,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2301,,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2302,,"Deshayes, Prosper-Didier",,,,guitar,5,NE
2303,,"Deshayes, Prosper-Didier",Paris,France,,guitar,5,NE
2304,,"Deshayes, Prosper-Didier",Paris,France,,guitar,5,NE
2305,,"Deshayes, Prosper-Didier",Paris,France,,guitar,5,NE
2306,1786,"Gossec, François-Joseph",Paris,France,,guitar,5,NE
2307,1786,,Paris,France,,guitar,5,NE
2308,1786,"Meggenhofen, Ferdinand von",Mainz,Germany,,guitar,5,NE
2309,1786,"Porro, Pierre Jean",Paris,France,,guitar,5,NE
2310,,"Signorile, Nicola",Naples,Italy,,guitar,5,NE
2311,1786,,Paris,France,,guitar,5,NE
2312,1786,,Paris,France,,guitar,5,NE
2313,1786,"Guglielmi, Pietro Alessandro",,,,guitar,,NE
2314,,"Guglielmi, Pietro Alessandro",,,,guitar,,NE
2315,1786,"Sacchini, Antonio",,,,guitar,5,NE
2316,1787,,Paris,France,,guitar,5,NE
2317,,"Baudron, Antoine Laurent",Paris,France,,guitar,,NE
2318,,"Champein, Stanislas",,,,guitar,,NE
2319,1787,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2320,1787,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2321,,"Dalayrac, Nicolas-Marie",,,,guitar,5,NE
2322,,"Haydn, Joseph",Paris,France,,guitar,5,NE
2323,,"Haydn, Joseph",,,,guitar,5,NE
2324,,"Haydn, Joseph",Paris,France,,guitar,5,NE
2325,1787,"Lemoyne, Jean-Baptiste",Paris,France,,guitar,5,NE
2326,,"Martín y Soler, Vicente",Mannheim,Munich,,guitar,,NE
2327,,"Mengozzi, Bernardo",Paris,France,,guitar,5,NE
2328,1787,,Paris,France,,guitar,5,NE
2329,1787,,Paris,France,,guitar,5,NE
2330,1787,,Paris,France,,guitar,5,NE
2331,,,,Catherine Joseph Ferdinand,,guitar,5,NE
2332,,,,Catherine Joseph Ferdinand,,guitar,5,NE
2333,,,,Catherine Joseph Ferdinand,,guitar,5,NE
2334,1787,"Salieri, Antonio",,,,guitar,5,NE
2335,1787,"Salieri, Antonio",,,,guitar,5,NE
2336,1787,"Salieri, Antonio",Paris,France,,guitar,,NE
2337,1787,"Salieri, Antonio",,,,guitar,5,NE
2338,1787,,Paris,France,,guitar,5,NE
2339,1787,various authors,Paris,France,,guitar,5,NE
2340,1787,,Paris,France,,guitar,5,NE
2341,1787,"Mozart, Wolfgang Amadeus",,,,guitar,,NE
2342,1787,"Martín y Soler, Vicente",,,,guitar,,NE
2343,1787,"Scheidler, Johann Christian Gottlieb",,,French tablature,lute,13,NE
2344,1788,,Dublin,Ireland,,guitar,,NE
2345,1788,,Paris,France,,guitar,5,NE
2346,,"Cambini, Giuseppe Maria",Paris,France,,guitar,5,NE
2347,,"Cambini, Giuseppe Maria",,,,guitar,5,NE
2348,1788,"Champein, Stanislas",Paris,France,,guitar,5,NE
2349,1788,"Champein, Stanislas",Paris,France,,guitar,5,NE
2350,1788,"Cimarosa, Domenico",Soho,England,,guitar,,NE
2351,,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2352,,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2353,,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2354,,"Dalayrac, Nicolas-Marie",,,,guitar,5,NE
2355,1788,,Offenbach,Germany,,guitar,5,NE
2356,1788,"Grétry, André-Ernest-Modeste",Paris,France,,"lute, guitar",5,NE
2357,1788,"Grétry, André-Ernest-Modeste",Paris,France,,"lute, guitar",5,NE
2358,,"Grétry, André-Ernest-Modeste",Paris,France,,"lute, guitar",5,NE
2359,1788,"Labarre, Trille",Paris,France,,guitar,5,NE
2360,1788,,Paris,France,,guitar,5,NE
2361,1788,,Paris,France,,guitar,5,NE
2362,1788,"Lefèvre, Théodore",Paris,France,,guitar,5,NE
2363,1788,"Lefèvre, Théodore",Paris,France,,guitar,5,NE
2364,1788,"Martín y Soler, Vicente",Mannheim,Munich,,guitar,,NE
2365,1788,"Martín y Soler, Vicente",London,England,,guitar,,NE
2366,1788,"Moulds, John",London,England,,guitar,,NE
2367,1788,"Porro, Pierre Jean",Paris,France,,guitar,5,NE
2368,1788,"Rousseau, Jean-Jacques",London,England,,guitar,,NE
2369,1788,,Paris,France,,guitar,5,NE
2370,1788,,Paris and Versailles,France,,guitar,5,NE
2371,1788,,Paris,France,,guitar,5,NE
2372,1788,,,,,guitar,,NE
2373,1788,,,,,guitar,,NE
2374,1788,"Paisiello, Giovanni",,,,guitar,,NE
2375,,"Boccherini, Luigi",,,,guitar,,NE
2376,1789,,Paris,France,,guitar,5,NE
2377,1789,,Paris,France,,guitar,5,NE
2378,1789,"Bianchi, Francesco",Paris,France,,guitar,5,NE
2379,,"Bianchi, Francesco",Paris,France,,guitar,5,NE
2380,,"Bianchi, Francesco",Paris,France,,guitar,5,NE
2381,,"Champein, Stanislas",Paris,France,,guitar,5,NE
2382,,"Chapelle, Pierre-David-Augustin",Paris,France,,guitar,5,NE
2383,1789,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2384,,"Dezède, Nicolas",Paris,France,,guitar,5,NE
2385,,"Dezède, Nicolas",,,,guitar,5,NE
2386,1789,"Lemoyne, Jean-Baptiste",Paris,France,,guitar,5,NE
2387,,"Lemoyne, Jean-Baptiste",Paris,France,,guitar,5,NE
2388,1789,"Paisiello, Giovanni",Paris,France,,guitar,5,NE
2389,1789,"Paixão Ribeiro, Manoel da",Coimbra,Portugal,,drugo,5,NE
2390,1789,"Porro, Pierre Jean",Paris,France,,guitar,5,NE
2391,1789,,Paris,France,,guitar,5,NE
2392,1789,,Paris,France,,guitar,5,NE
2393,,,Paris,France,,guitar,5,NE
2394,,,Paris,France,,guitar,5,NE
2395,,,Paris,France,,guitar,5,NE
2396,,,Paris,France,,guitar,5,NE
2397,,,Paris,France,,guitar,5,NE
2398,1789,various authors,Paris,France,,guitar,5,NE
2399,1789,"Ximenes, Antonio",Paris,France,,guitar,5,NE
2400,1789,,,,,guitar,,NE
2401,1789,,,,,guitar,,NE
2402,1789,,,,,guitar,,NE
2403,1789,"Dalayrac, Nicolas-Marie",,,,guitar,,NE
2404,1789,,,,,guitar,,NE
2405,1789,"Dalayrac, Nicolas-Marie",,,,guitar,,NE
2406,1789,"Paisiello, Giovanni",,,,guitar,,NE
2407,1790,"Adrien, Martin Joseph",Paris,France,,guitar,5,NE
2408,,"Alberti, Francesco",Paris,France,,guitar,5,NE
2409,1790,,,,,guitar,5,NE
2410,1790,,Paris,France,,guitar,5,NE
2411,1790,,Paris,France,,guitar,5,NE
2412,1790,,Paris,France,,guitar,5,NE
2413,1790,,Paris,France,,guitar,5,NE
2414,1790,,Paris,France,,guitar,5,NE
2415,1790,,Paris,France,,guitar,5,NE
2416,1790,,Paris,France,,guitar,5,NE
2417,1790,,Paris,France,,guitar,5,NE
2418,1790,,Paris,France,,guitar,5,NE
2419,1790,,Paris,France,,guitar,5,NE
2420,1790,,Paris,France,,guitar,5,NE
2421,1790,,Paris,France,,guitar,5,NE
2422,1790,,London,England,,guitar,,NE
2423,1790,,Paris,France,,guitar,5,NE
2424,1790,,Paris,France,,guitar,5,NE
2425,1790,,Paris,France,,guitar,5,NE
2426,1790,,Paris,France,,guitar,5,NE
2427,1790,,Paris,France,,guitar,5,NE
2428,1790,,Paris,France,,guitar,5,NE
2429,1790,,Paris,France,,guitar,5,NE
2430,1790,,Paris,France,,guitar,5,NE
2431,1790,,Paris,France,,guitar,5,NE
2432,1790,,Paris,France,,guitar,5,NE
2433,1790,,Paris,France,,guitar,5,NE
2434,1790,,Paris,France,,guitar,5,NE
2435,1790,,Paris,France,,guitar,5,NE
2436,,"Aprile, Giuseppe",Naples,Italy,,guitar,5,NE
2437,1790,"Baudron, Antoine Laurent",Paris,France,,guitar,5,NE
2438,,"Bianchi, Antonio",Hamburg,Germany,,guitar,,NE
2439,,"Bianchi, Antonio",Hamburg,Germany,,guitar,,NE
2440,,"Bianchi, Francesco",Paris,France,,guitar,5,NE
2441,1790,"Champein, Stanislas",,,,guitar,5,NE
2442,1790,"Chapelle, Pierre-David-Augustin",Paris,France,,guitar,5,NE
2443,1790,"Cherubini, Luigi",Paris,France,,guitar,5,NE
2444,,"Cimarosa, Domenico",Naples,Italy,,guitar,,NE
2445,,"Cimarosa, Domenico",Paris,France,,guitar,5,NE
2446,,"Cimarosa, Domenico",Paris,France,,guitar,5,NE
2447,1790,,Paris,France,,guitar,5,NE
2448,1790,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2449,1790,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2450,1790,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2451,1790,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2452,1790,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2453,1790,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2454,1790,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2455,1790,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2456,1790,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2457,,"Dalayrac, Nicolas-Marie",,,,guitar,5,NE
2458,,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2459,,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2460,,"Dalayrac, Nicolas-Marie",The Hague and Amsterdam,Netherlands,,guitar,5,NE
2461,1790,,,,,guitar,5,NE
2462,1790,"Ducray-Duminil, François Guillaume",,,,guitar,5,NE
2463,1790,"Ferrari, Giacomo Gotifredo",,Paris and Lyon France,,guitar,5,NE
2464,1790,"Garat, Pierre",Paris,France,,guitar,5,NE
2465,1790,"Garat, Pierre",Paris,France,,guitar,5,NE
2466,1790,"Garat, Pierre",Paris,France,,guitar,5,NE
2467,1790,"Gardel, Maximilien Léopold Philippe Joseph",London,England,,guitar,,NE
2468,1790,"Gardel, Maximilien Léopold Philippe Joseph",London,England,,guitar,,NE
2469,1790,"Grétry, André-Ernest-Modeste",Paris,France,,"lute, guitar",5,NE
2470,1790,"Grétry, André-Ernest-Modeste",Paris,France,,"lute, guitar",5,NE
2471,1790,"Grétry, André-Ernest-Modeste",London,England,,"lute, guitar",5,NE
2472,,"Grétry, André-Ernest-Modeste",Liège,Belgium,,"lute, guitar",5,NE
2473,,"Grétry, André-Ernest-Modeste",Paris,France,,"lute, guitar",5,NE
2474,,"Gürrlich, Joseph Augustin",,,,guitar,,NE
2475,1790,"Haydn, Joseph",,Zufriedenheit,,guitar,5,NE
2476,1790,"Haydn, Joseph",Paris,France,,guitar,5,NE
2477,1790,"Lemoyne, Jean-Baptiste",Paris,France,,guitar,5,NE
2478,1790,"Lemoyne, Jean-Baptiste",Paris,France,,guitar,5,NE
2479,1790,"Lemoyne, Jean-Baptiste",Paris,France,,guitar,5,NE
2480,1790,"Martini, Jean-Paul-Gilles",Paris,France,,guitar,5,NE
2481,1790,"Méhul, Etienne-Nicolas",Paris,France,,guitar,5,NE
2482,1790,"Paisiello, Giovanni",Paris,France,,guitar,5,NE
2483,,"Paisiello, Giovanni",Paris,France,,guitar,5,NE
2484,,"Paisiello, Giovanni",,,,guitar,5,NE
2485,,"Paisiello, Giovanni",Paris,France,,guitar,5,NE
2486,1790,"Phillis, Jean Baptiste",Paris,France,,guitar,5,NE
2487,1790,"Porro, Pierre Jean",Paris,France,,guitar,5,NE
2488,1790,"Porro, Pierre Jean",Paris,France,,guitar,5,NE
2489,1790,,London,England,,guitar,,NE
2490,,"Ruprecht, Martin",Mainz,Germany,,guitar,,NE
2491,1790,"Sarti, Giuseppe",Paris,France,,guitar,5,NE
2492,,"Sarti, Giuseppe",Paris,France,,guitar,5,NE
2493,1790,,Paris,France,,guitar,5,NE
2494,1790,various authors,Paris,France,,guitar,5,NE
2495,,"Call, Leonhard von",,,,guitar,,NE
2496,,"Mozart, Wolfgang Amadeus",,,,guitar,,NE
2497,,,,,,guitar,5,NE
2498,1790,"Zucconi, Francesco de",,,,guitar,5,NE
2499,1790,,,,,guitar,,NE
2500,,,,,,guitar,,NE
2501,,,,,,guitar,,NE
2502,1790,,,,,guitar,5,NE
2503,,,,,,guitar,5,NE
2504,,,,,,guitar,,NE
2505,,,,,,guitar,5,NE
2506,,,,,,guitar,,NE
2507,1790,"Vaccari, Francesco",,,,guitar,5,NE
2508,,"Doisy, François",,,,guitar,,NE
2509,,"Winter, Peter von",,,,guitar,6,NE
2510,,"Zink?, Joseph Michael",,,French tablature,drugo,6,NE
2511,,"Schubart, Christian Friedrich Daniel",,,French tablature,drugo,6,NE
2512,,"Zink, Joseph Michael",,,French tablature,drugo,6,NE
2513,,"Zink, Joseph Michael",,,French tablature,drugo,6,NE
2514,,"Zink, Joseph Michael",,,French tablature,drugo,6,NE
2515,,"Zink, Joseph Michael",,,French tablature,drugo,6,NE
2516,,"Zink, Joseph Michael",,,French tablature,drugo,6,NE
2517,,,,,,guitar,5,NE
2518,,"Zinck, Joseph Michael",,,lute tablature,lute,6,NE
2519,,"Zinck, Joseph Michael",,,lute tablature,lute,6,NE
2520,,"Zinck, Joseph Michael",,,lute tablature,lute,6,NE
2521,,"Zinck, Joseph Michael",,,lute tablature,lute,6,NE
2522,,"Zinck, Joseph Michael",,,lute tablature,lute,6,NE
2523,,"Fleischmann, Friedrich",,,,guitar,,NE
2524,,"Stegmann, Carl David",,,,guitar,,NE
2525,,,,,,guitar,,NE
2526,,"Carulli, Ferdinando",,,,guitar,,NE
2527,,"Boccomini, Giuseppe",,,,guitar,,NE
2528,1790,"Mozart, Wolfgang Amadeus",,,,guitar,6,NE
2529,,"Bassi, Nicola",,,,guitar,5,NE
2530,,,,,,guitar,,NE
2531,,"Köhler, Gottlieb Heinrich",,,,guitar,6,NE
2532,,,,,,guitar,,NE
2533,,,,,,guitar,5,NE
2534,,,,,,guitar,,NE
2535,,,,,,guitar,5,NE
2536,,,,,,guitar,5,NE
2537,,"Salieri, Antonio",,,,guitar,,NE
2538,,,,,,guitar,5,NE
2539,,"Guglielmi, Pietro Alessandro",,,,guitar,,NE
2540,,"Martín y Soler, Vicente",,,,guitar,,NE
2541,,"Müller, Wenzel",,,,guitar,,NE
2542,,"Paisiello, Giovanni",,,,guitar,,NE
2543,1790,"Schiller, Friedrich von",,,,guitar,5,NE
2544,,,,,,guitar,,NE
2545,,"Dibdin, Charles",,,,guitar,,NE
2546,,"Paisiello, Giovanni",,,,guitar,,NE
2547,,"Paisiello, Giovanni",,,,guitar,,NE
2548,,"Barbi, Matteo",,,,guitar,6,NE
2549,,"Bortolazzi, Bartolomeo",,,,guitar,,NE
2550,,,,,,guitar,5,NE
2551,,"Cannabich, Carl August",,,,guitar,,NE
2552,,,,,,guitar,5,NE
2553,,"Arcari, Valentino",,,,guitar,,NE
2554,,"Lanza, Giuseppe",,,,guitar,,NE
2555,1790,"Zingarelli, Niccolò Antonio",,,,guitar,5,NE
2556,,,,,,guitar,,NE
2557,,"Patrignani, Cesare",,,,guitar,,NE
2558,,"Bianchi, Francesco",,,,guitar,,NE
2559,,"Corbellini, Bernardino",,,,guitar,,NE
2560,,"De Luca, Giovanni Battista",,,,guitar,,NE
2561,,"De Luca, Giovanni Battista",,,,guitar,,NE
2562,,"Guglielmi, Pietro Alessandro",,,,guitar,,NE
2563,,,,,,guitar,,NE
2564,,"Martín y Soler, Vicente",,,,guitar,,NE
2565,,"Paisiello, Giovanni",,,,guitar,,NE
2566,,"Tritto, Giacomo",,,,guitar,,NE
2567,,,,,,guitar,,NE
2568,,,,,,guitar,5,NE
2569,,,,,,guitar,5,NE
2570,,,,,,guitar,,NE
2571,,,,,,guitar,5,NE
2572,,,,,,guitar,,NE
2573,,,,,,guitar,5,NE
2574,,,,,,guitar,,NE
2575,,,,,,guitar,5,NE
2576,,,,,,guitar,,NE
2577,,,,,,guitar,,NE
2578,,,,,,guitar,,NE
2579,,,,,,guitar,5,NE
2580,,Due Barcarole per Chitarra,,,,guitar,5,NE
2581,,,,,,guitar,,NE
2582,,,,,,guitar,5,NE
2583,,,,,,guitar,5,NE
2584,,,,,,guitar,5,NE
2585,,"Cerracchini, Francesco",,,,guitar,,NE
2586,,"Andreozzi, Gaetano",,,,lute,,NE
2587,1790,,,,,guitar,5,NE
2588,,,,,,guitar,5,NE
2589,,,,,,guitar,5,NE
2590,,,,,,guitar,,NE
2591,,,,,,guitar,,NE
2592,1790,"Angelelli, Eustacchio",,,,guitar,5,NE
2593,,,,,,guitar,,NE
2594,,"Carulli, Ferdinando",,,,guitar,5,NE
2595,,"Carulli, Ferdinando",,,,guitar,5,NE
2596,,"Carulli, Ferdinando",,,,guitar,,NE
2597,,"Carulli, Ferdinando",,,,guitar,5,NE
2598,,"Carulli, Ferdinando",,,,guitar,5,NE
2599,,"Guglielmi, Pietro Alessandro",,,,guitar,,NE
2600,,"Vistarini, Francesco",,,,guitar,5,NE
2601,,"Pelliccia, Giovanni Maria",,,,guitar,,NE
2602,1790,"Colla, Vincenzo",,,,guitar,5,NE
2603,1790,"Barbi, Matteo",,,,guitar,5,NE
2604,,"Vistarini, Francesco",,,,guitar,5,NE
2605,,,,,,guitar,5,NE
2606,,"Anfossi, Pasquale",,,,guitar,,NE
2607,,"Mengozzi, Bernardo",,,,guitar,,NE
2608,,,,,,guitar,5,NE
2609,,,,,,guitar,5,NE
2610,,,,,,guitar,5,NE
2611,,,,,,guitar,5,NE
2612,,"Mezger, Franz",,,,lute,,NE
2613,,"Fioravanti, Valentino",,,,guitar,,NE
2614,,"Grétry, André-Ernest-Modeste",,,,lute,,NE
2615,1790,"Garat, Pierre-Jean",,,,guitar,5,NE
2616,,,,,,guitar,,NE
2617,,"Call?, Leonhard von",,,,guitar,,NE
2618,,"Küffner, Joseph",,,,guitar,,NE
2619,1791,,Paris,France,,guitar,5,NE
2620,1791,"Beffroy de Reigny, Louis-Abel",Paris,France,,guitar,5,NE
2621,1791,"Beffroy de Reigny, Louis-Abel",Paris,France,,guitar,5,NE
2622,1791,"Beffroy de Reigny, Louis-Abel",Paris,France,,guitar,5,NE
2623,,"Beffroy de Reigny, Louis-Abel",Paris,France,,guitar,5,NE
2624,,"Beffroy de Reigny, Louis-Abel",,,,guitar,5,NE
2625,,"Beffroy de Reigny, Louis-Abel",Paris,France,,guitar,5,NE
2626,,"Beffroy de Reigny, Louis-Abel",Paris,France,,guitar,5,NE
2627,,"Beffroy de Reigny, Louis-Abel",Paris,France,,guitar,5,NE
2628,,"Candeille, Pierre Joseph",Paris,France,,guitar,5,NE
2629,1791,"Cherubini, Luigi",Paris,France,,guitar,5,NE
2630,1791,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2631,1791,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2632,1791,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2633,1791,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2634,1791,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2635,,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2636,,"Dalayrac, Nicolas-Marie",,,,guitar,5,NE
2637,,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2638,,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2639,,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2640,,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2641,,"Dalayrac, Nicolas-Marie",,,,guitar,5,NE
2642,,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2643,1791,"Hoyle, John",London,England,,drugo,,DA
2644,1791,"Kreutzer, Rodolphe",Paris,France,,guitar,5,NE
2645,1791,"Plantade, Charles-Henri",,,,guitar,5,NE
2646,1791,"Pleyel, Ignace Joseph",Paris,France,,guitar,5,NE
2647,1791,"Sainte-Aldegonde, Comte de",Paris,France,,guitar,5,NE
2648,1791,,Paris,France,,guitar,5,NE
2649,1791,"Rust, Friedrich Wilhelm",,,French tablature,lute,13,NE
2650,,"Paisiello, Giovanni",,,,guitar,,NE
2651,,"Cimador, Giovanni Battista",,,,guitar,,NE
2652,,"Fiala, Joseph",,,,"lute, guitar",,NE
2653,,"Crescentini, Girolamo",,,,guitar,,NE
2654,,,,,,guitar,,NE
2655,,"Lavigna, Vincenzo",,,,guitar,,NE
2656,1791,,,,,guitar,,NE
2657,1792,,Paris,France,,guitar,5,NE
2658,1792,,Paris,France,,guitar,5,NE
2659,1792,,Paris,France,,guitar,5,NE
2660,,,Paris,France,,guitar,5,NE
2661,1792,"Bruni, Antonio Bartolomeo",Paris,France,,guitar,5,NE
2662,,"Bruni, Antonio Bartolomeo",Paris,France,,guitar,5,NE
2663,1792,"Candeille, Amélie-Julie",Paris,France,,guitar,5,NE
2664,1792,"Devienne, François",,,,guitar,5,NE
2665,1792,"Devienne, François",Paris,France,,guitar,5,NE
2666,1792,"Devienne, François",,,,guitar,5,NE
2667,1792,"Gaveaux, Pierre",Paris,France,,guitar,5,NE
2668,1792,"Gaveaux, Pierre",Paris,France,,guitar,5,NE
2669,1792,"Guichard, Louis Joseph",,,,guitar,5,NE
2670,1792,"Kreutzer, Rodolphe",Paris,France,,guitar,5,NE
2671,1792,"Leite, António da Silva",Porto,Portugal,,guitar,,NE
2672,1792,"Lemoyne, Jean-Baptiste",Paris,France,,guitar,5,NE
2673,1792,"Mombelli, Domenico",Naples,Italy,,guitar,,NE
2674,1792,"Moretti, Federico",Naples,Italy,,guitar,5,NE
2675,1792,"Traeg, Andreas",Vienna,Austria,,guitar,,NE
2676,1792,"Trial, Armand-Emmanuel",Paris,France,,guitar,5,NE
2677,,"Trial, Armand-Emmanuel",Paris,France,,guitar,5,NE
2678,,"Trial, Armand-Emmanuel",Paris,France,,guitar,5,NE
2679,1792,,Paris,France,,guitar,5,NE
2680,1792,,,,,guitar,,NE
2681,1792,"Hartig?, Franz de Paula von",,,,guitar,,NE
2682,1792,"Knöferle, Franz Heinrich Wendelin",,,French tablature,drugo,6,NE
2683,1792,"Knöferle, Franz Heinrich Wendelin",,,French tablature,drugo,6,NE
2684,,"Schermer, Anton",,,French tablature,drugo,6,NE
2685,,"Süßmayr, Franz Xaver",,,French tablature,drugo,6,NE
2686,,,,,French tablature,drugo,6,NE
2687,,"Knöferle, Franz Heinrich Wendelin",,,French tablature,drugo,6,NE
2688,,"Knöferle, Franz Heinrich Wendelin",,,French tablature,drugo,6,NE
2689,,,,,French tablature,drugo,6,NE
2690,,,,,French tablature,drugo,6,NE
2691,1797,,,,French tablature,drugo,6,NE
2692,,"Guglielmi, Pietro Alessandro",,,,guitar,,NE
2693,,"Della Maria, Pierre-Antoine-Dominique",,,,guitar,,NE
2694,1792,"Moretti, Federico",Naples,Italy,,guitar,6,NE
2695,,,,,,guitar,,NE
2696,1793,,Paris,France,,guitar,5,NE
2697,1793,,Paris,France,,guitar,5,NE
2698,1793,,Paris,France,,guitar,5,NE
2699,1793,,Paris,France,,guitar,5,NE
2700,1793,,Paris,France,,guitar,5,NE
2701,1793,,Paris,France,,guitar,5,NE
2702,1793,,Paris,France,,guitar,5,NE
2703,1793,,Bonn and Cologne,Germany,,guitar,,NE
2704,1793,,Paris,France,,guitar,5,NE
2705,1793,,,,,guitar,5,NE
2706,1793,,,,,guitar,5,NE
2707,1793,,Paris,France,,guitar,5,NE
2708,,"Beffroy de Reigny, Louis-Abel",Paris,France,,guitar,5,NE
2709,1793,"Bruni, Antonio Bartolomeo",Paris,France,,guitar,5,NE
2710,1793,"Bruni, Antonio Bartolomeo",Paris,France,,guitar,5,NE
2711,1793,"Cambini, Giuseppe Maria",Paris,France,,guitar,5,NE
2712,1793,"Cambini, Giuseppe Maria",Paris,France,,guitar,5,NE
2713,,"Candeille, Julie",Paris,France,,guitar,5,NE
2714,,"Candeille, Julie",Paris,France,,guitar,5,NE
2715,,"Candeille, Julie",Paris,France,,guitar,5,NE
2716,,"Candeille, Julie",Paris,France,,guitar,5,NE
2717,,"Candeille, Julie",Paris,France,,guitar,5,NE
2718,,"Candeille, Julie",Paris,France,,guitar,5,NE
2719,1793,"Champein, Stanislas",Paris,France,,guitar,5,NE
2720,,"Champein, Stanislas",Paris,France,,guitar,5,NE
2721,1793,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2722,1793,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2723,1793,"Dalayrac, Nicolas-Marie",Paris,France,,guitar,5,NE
2724,,"Dalayrac, Nicolas-Marie",,,,guitar,5,NE
2725,1793,"Devienne, François",,,,guitar,5,NE
2726,1793,"Devienne, François",,,,guitar,5,NE
2727,1793,"Devienne, François",Paris,France,,guitar,5,NE
2728,,"Devienne, François",,,,guitar,5,NE
2729,,"Devienne, François",,,,guitar,5,NE
2730,,"Devienne, François",Paris,France,,guitar,5,NE
2731,,"Devienne, François",Paris,France,,guitar,5,NE
2732,,"Devienne, François",Paris,France,,guitar,5,NE
2733,,"Devienne, François",Paris,France,,guitar,5,NE
2734,,"Devienne, François",Paris,France,,guitar,5,NE
2735,,"Devienne, François",Paris,France,,guitar,5,NE
2736,1793,"Foignet, Charles Gabriel",,,,guitar,5,NE
2737,1793,"Gaveaux, Pierre",Paris,France,,guitar,5,NE
2738,1793,"Gaveaux, Pierre",Paris,France,,guitar,5,NE
2739,1793,"Gaveaux, Pierre",Paris,France,,guitar,5,NE
2740,1793,"Gaveaux, Pierre",Paris,France,,guitar,5,NE
2741,1793,"Giroust, François",Paris,France,,guitar,5,NE
2742,,"Giroust, François",Paris,France,,guitar,5,NE
2743,1793,"Gossec, François-Joseph",Paris,France,,guitar,5,NE
2744,,"Gossec, François-Joseph",Paris,France,,guitar,5,NE
2745,1793,,Paris,France,,guitar,5,NE
2746,1793,"Leger, François Pierre Auguste",Paris,France,,guitar,5,NE
2747,1793,"Leger, François Pierre Auguste",Paris,France,,guitar,5,NE
2748,1793,"Lemoyne, Jean-Baptiste",Paris,France,,guitar,5,NE
2749,1793,"Müller, Wenzel",Bonn,Germany,,"lute, guitar",,NE
2750,1793,"Müller, Wenzel",Hamburg,Germany,,guitar,,NE
2751,,"Persuis, Louis-Luc Loiseau de",Paris,France,,guitar,5,NE
2752,,"Persuis, Louis-Luc Loiseau de",Paris,France,,guitar,5,NE
